parish,state,project,name,contrac_status,field_status,start_date,end_date,total_mi,mi_remain_plan,mi_remain_contrac_adj,passings,passings_remain_plan,passings_remain_contrac_adj,nepa_overlap_mi,nepa_approved_mi,nepa_blocked_mi,nepa_status,nepa_passing_at_risk,bead_passing,bead_complete_contrac_adj,bead_remain_contrac_adj,bead_rc_points_total,bead_rc_RC1_2,bead_rc_RC3,bead_rc_RC4,bead_rc_RC5_BDC,bead_rc_RC5_OTHER,bead_rc_Jason_Cut,labor_remain_usd,material_remain_usd,unsplit_remain_usd,mainline_remain_usd_total,labor_remain_source,reason_codes,ocius_project_id
De Soto Parish,LA,CDA-28998,De Soto Parish-NONE-CDA-28998-Stat Area - 2027 - CDA-28998,(no ROQ job),not_started,2028-01-01,2028-04-30,6.84,6.84,6.84,1123.0,1123.0,1123.0,0.56,0.0,0.56,blocked,1123.0,0.0,0.0,0.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, legal_hold_desoto_ef, legal_hold_orig_start:2026-11-01, legal_hold_restart_2028_01",
East Feliciana Parish,LA,DA-6767,East Feliciana Parish-NONE-DA-6767-APPROVEDDESIGNAREAS - Wilson,(no ROQ job),not_started,2028-01-01,2028-06-30,15.58,15.58,15.58,1096.0,1096.0,1096.0,13.56,0.0,13.56,blocked,1096.0,40.0,0.0,40.0,2,1,1,0,0,0,0,,,,,no_ocius_job_match,"wave1_pinned_authority, legal_hold_desoto_ef, legal_hold_orig_start:2026-01-01, legal_hold_restart_2028_01",
Natchitoches Parish,LA,DA-6773,Natchitoches Parish-NONE-DA-6773-APPROVEDDESIGNAREAS - Natchitoches Transport,(no ROQ job),not_started,2025-08-01,2025-08-31,4.26,4.26,4.26,1055.0,1055.0,1055.0,9.75,0.0,9.75,blocked,1055.0,58.0,0.0,58.0,10,0,3,0,0,7,0,,,,,no_ocius_job_match,"wave1_pinned_authority, parent_resized_after_child, parent_never_active",
Jefferson County,MS,CA-8473,Jefferson County-NONE-CA-8473-Construction Area - CPF_BEAM_Fayette,In Construction,in_construction,2025-09-01,2025-11-30,12.27,0.0,0.68,1417.0,5.0,1003.2,0.0,0.0,0.0,no_data,1003.2,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,44122.02,244828.46,288950.48,matched_williams825_pin,wave1_pinned_authority,349
East Feliciana Parish,LA,CA-8449,East Feliciana Parish-NONE-CA-8449-Construction Area - South Clinton,(no ROQ job),in_construction,2028-01-01,2028-06-30,65.5,65.5,65.5,997.0,997.0,997.0,0.0,0.0,0.0,no_data,997.0,24.0,0.0,24.0,0,0,0,0,0,0,0,1685855.17,797488.16,708413.31,3191756.63,matched_williams825_pin,"wave1_pinned_authority, operator_restored_williams_v825, legal_hold_desoto_ef, legal_hold_orig_start:2027-03-01, legal_hold_restart_2028_01",401
Natchitoches Parish,LA,CDA-27355,Natchitoches Parish-NONE-CDA-27355-Stat Area - 2027 - CDA-27355,(no ROQ job),not_started,2026-08-01,2027-02-28,17.13,17.13,17.13,972.0,972.0,972.0,10.47,0.0,10.47,blocked,972.0,44.0,0.0,44.0,3,0,2,0,0,1,0,,,,,no_ocius_job_match,"wave1_pinned_authority, wave1_ic_remain_from_now, parent_never_active",
Covington County,MS,CDA-32564,Covington County-NONE-CDA-32564-Stat Area - 2027 - CDA-32564,(no ROQ job),not_started,2026-10-01,2027-05-31,67.46,67.46,67.46,952.0,952.0,952.0,0.0,0.0,0.0,no_data,952.0,678.0,0.0,678.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
Jefferson Davis County,MS,CDA-32557,Jefferson Davis County-NONE-CDA-32557-Stat Area - 2027 - CDA-32557,(no ROQ job),not_started,2027-01-01,2027-04-30,71.3,71.3,71.3,918.0,918.0,918.0,0.0,0.0,0.0,no_data,918.0,556.0,0.0,556.0,0,0,0,0,0,0,0,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_2027_spread",
Sabine Parish,LA,CA-6892,Sabine Parish-NONE-CA-6892-Construction Area - Zwolle Construction Area,In Construction,in_construction,2025-02-01,2025-07-31,209.85,42.27,32.94,5800.0,1745.0,910.3,26.3,26.3,0.0,clear,0.0,683.0,575.8,107.2,245,0,43,0,200,2,0,0.0,89951.42,2269818.39,2359769.81,matched_williams825_pin,wave1_pinned_authority,174
Evangeline Parish,LA,CDA-26545,Evangeline Parish-NONE-CDA-26545-Stat Area - 2026 - CDA-26545,(no ROQ job),not_started,2026-10-01,2027-05-31,63.97,63.97,63.97,874.0,874.0,874.0,51.57,51.57,0.0,clear,0.0,425.0,0.0,425.0,75,0,41,0,0,0,34,,,,,no_ocius_job_match,"wave1_retimed_pass1, wave1_habit_resize, wave1_2026_q4_retime",
